pos:P,name:Walt Terrell,age:26,games:33,plate_appearances:77,at_bats:75,runs:3,hits:6,doubles:2,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:33,batting_avg:.080,onbase:.092,slugging:.107,ops:erc">.107,ops+:lugging">.199,bases:8,double_plays:1,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Ron Darling,age:23,games:39,plate_appearances:75,at_bats:67,runs:7,hits:10,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:19,batting_avg:.149,onbase:.159,slugging:.164,ops:erc">.164,ops+:lugging">.324,bases:11,double_plays:1,hit_by_pitch:0,sac_hits:6,sac_flies:1,intentional_walks:0
pos:P,name:Bruce Berenyi,age:29,games:19,plate_appearances:43,at_bats:37,runs:3,hits:9,doubles:1,triples:0,home_runs:0,runs_batted_in:3,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:5,batting_avg:.243,onbase:.237,slugging:.270,ops:erc">.270,ops+:lugging">.507,bases:10,double_plays:1,hit_by_pitch:0,sac_hits:5,sac_flies:1,intentional_walks:0
pos:P,name:Sid Fernandez,age:21,games:15,plate_appearances:31,at_bats:28,runs:0,hits:5,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.179,onbase:.179,slugging:.179,ops:erc">.179,ops+:lugging">.357,bases:5,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Ed Lynch,age:28,games:40,plate_appearances:30,at_bats:27,runs:0,hits:6,doubles:1,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:9,batting_avg:.222,onbase:.222,slugging:.259,ops:erc">.259,ops+:lugging">.481,bases:7,double_plays:1,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Doug Sisk,age:26,games:50,plate_appearances:14,at_bats:11,runs:0,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:6,batting_avg:.091,onbase:.167,slugging:.091,ops:erc">.091,ops+:lugging">.258,bases:1,double_plays:1,hit_by_pitch:0,sac_hits:2,sac_flies:0,intentional_walks:0
pos:P,name:Tim Leary,age:25,games:20,plate_appearances:13,at_bats:10,runs:2,hits:3,doubles:0,triples:0,home_runs:1,runs_batted_in:1,stolen_bases:1,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.300,onbase:.300,slugging:.600,ops:erc">.600,ops+:lugging">.900,bases:6,double_plays:0,hit_by_pitch:0,sac_hits:3,sac_flies:0,intentional_walks:0
pos:P,name:Mike Torrez,age:37,games:9,plate_appearances:11,at_bats:10,runs:0,hits:3,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:1,strikeouts:1,batting_avg:.300,onbase:.364,slugging:.300,ops:erc">.300,ops+:lugging">.664,bases:3,double_plays:1,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Jesse Orosco,age:27,games:60,plate_appearances:8,at_bats:4,runs:1,hits:1,doubles:0,triples:0,home_runs:0,runs_batted_in:1,stolen_bases:0,caught_stealing:0,walks:3,strikeouts:2,batting_avg:.250,onbase:.571,slugging:.250,ops:erc">.250,ops+:lugging">.821,bases:1,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Brent Gaff,age:25,games:47,plate_appearances:6,at_bats:6,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:2,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Tom Gorman,age:26,games:36,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:1,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Calvin Schiraldi,age:22,games:5,plate_appearances:3,at_bats:3,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Wes Gardner,age:23,games:21,plate_appearances:1,at_bats:1,runs:1,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:.000,onbase:.000,slugging:.000,ops:erc">.000,ops+:lugging">.000,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
pos:P,name:Craig Swan,age:33,games:10,plate_appearances:1,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:1,sac_flies:0,intentional_walks:0
pos:P,name:Dick Tidrow,age:37,games:11,plate_appearances:0,at_bats:0,runs:0,hits:0,doubles:0,triples:0,home_runs:0,runs_batted_in:0,stolen_bases:0,caught_stealing:0,walks:0,strikeouts:0,batting_avg:,onbase:,slugging:,ops:erc">,ops+:lugging">,bases:0,double_plays:0,hit_by_pitch:0,sac_hits:0,sac_flies:0,intentional_walks:0
